cluster,period,cost_usd
prod-us-east-1,2026-05,2400.50
prod-us-west-2,2026-05,2180.00
prod-eu-central-1,2026-05,1980.00
prod-europe-west2,2026-05,1820.00
prod-japaneast,2026-05,1450.00
prod-ap-south-1,2026-05,890.00
staging-ap-southeast-1,2026-05,420.00
staging-ap-northeast-2,2026-05,380.00
dev-us-central1,2026-05,120.00
dev-canadacentral,2026-05,95.00
dev-eu-north-1,2026-05,110.00
store-nyc-42,2026-05,180.25
store-london-soho,2026-05,165.00
store-sydney-cbd,2026-05,150.00
store-paris-12,2026-05,140.00
store-dubai-mall,2026-05,135.00
store-mexico-city,2026-05,120.00
edge-buenos-aires,2026-05,80.00
edge-lagos,2026-05,75.00
edge-johannesburg,2026-05,90.00
warehouse-sao-paulo,2026-05,210.00
factory-osaka,2026-05,310.00
dev-australiasoutheast,2026-05,85.00
dev-southamerica-east1,2026-05,75.00
store-vancouver,2026-05,130.00
store-honolulu,2026-05,140.00
